backbone,base_test_mae,dataset,delta_abs_mean,failure_score_mean,fixed_harm_coef,gate_mean,harm_mode,mae,mape,masked_mae,model,plugin,plugin_gain_pct,plugin_val_mae,rmse,scenario,seed
MagiNet,0.1707685601708008,PEMS04,0.0855911743866192,0.0782645901272767,,0.5852246708949603,,0.1263275444507599,0.5283008813858032,0.1602274827583624,MagiNet+CalibrationGuard,CalibrationGuard,6.172727229119519,0.1441742330789566,0.2213408052921295,incident_perturbation,1
MagiNet,0.1707685601708008,PEMS04,0.0862183018404632,0.0782645901272767,,0.5856571160940496,,0.1258988678455352,0.5277882218360901,0.160165193798574,MagiNet+FailureAnomalyGuard,FailureAnomalyGuard,6.2092028893500135,0.1440825760364532,0.2210711240768432,incident_perturbation,1
MagiNet,0.1707685601708008,PEMS04,0.0699897082790352,0.0782645901272767,1.0,0.5945141848979731,failure_aware_soft,0.122810423374176,0.5198749303817749,0.1611871607040451,MagiNet+PhyGuard,PhyGuard,5.610751450485073,0.1457671523094177,0.2200681716203689,incident_perturbation,1
SAITS,0.2821823482929346,PEMS08,,0.081206384339003,,,,0.1403476744890213,1.1991757154464722,0.2821823482929346,SAITS,Backbone,0.0,,0.2918785214424133,random_missing_50,1
SAITS,0.2821823482929346,PEMS08,0.0617775188021667,0.081206384339003,,1.0,,0.1513357460498809,1.2990902662277222,0.2404933740047893,SAITS+GenericAdapter,GenericAdapter,14.77377112365221,0.1952570229768753,0.2638352811336517,random_missing_50,1
SAITS,0.2821823482929346,PEMS08,0.066326980243047,0.081206384339003,,0.6508256085799865,,0.1455105543136596,1.2597079277038574,0.2539708869598527,SAITS+CalibrationGuard,CalibrationGuard,9.997599603145767,0.2060653865337371,0.2706365287303924,random_missing_50,1
SAITS,0.2821823482929346,PEMS08,0.0571854222330448,0.081206384339003,,0.5868566742638907,,0.1457645446062088,1.2841598987579346,0.2702296239277904,SAITS+FailureAnomalyGuard,FailureAnomalyGuard,4.235815754405727,0.219173401594162,0.281160831451416,random_missing_50,1
SAITS,0.2821823482929346,PEMS08,0.0451495819260983,0.081206384339003,1.0,0.5806795585268573,failure_aware_soft,0.1471181660890579,1.2944965362548828,0.272518927289947,SAITS+PhyGuard,PhyGuard,3.424530648868201,0.220865324139595,0.2831208109855652,random_missing_50,1
MagiNet,0.1334601328615867,PEMS08,,0.081206384339003,,,,0.0663784220814704,0.7213294506072998,0.1334601328615867,MagiNet,Backbone,0.0,,0.1335147619247436,random_missing_50,1
MagiNet,0.1334601328615867,PEMS08,0.0214935186183318,0.081206384339003,,1.0,,0.0773691833019256,0.7875282764434814,0.1253035515858884,MagiNet+GenericAdapter,GenericAdapter,6.111623824140556,0.1107907220721244,0.1293453723192215,random_missing_50,1
